crdm_trial_idx,crdm_nonzero_side,idm_task,item
0,top,crdm_task,1
1,bottom,crdm_task,2
2,top,crdm_task,3
3,bottom,crdm_task,4
4,top,crdm_task,5
5,bottom,crdm_task,6
6,top,crdm_task,7
7,bottom,crdm_task,8
8,top,crdm_task,9
9,bottom,crdm_task,10
10,top,crdm_task,11
11,bottom,crdm_task,12
12,top,crdm_task,13
13,bottom,crdm_task,14
14,top,crdm_task,15
15,bottom,crdm_task,16
16,top,crdm_task,17
17,bottom,crdm_task,18
18,top,crdm_task,19
19,bottom,crdm_task,20
20,top,crdm_task,21
21,bottom,crdm_task,22
22,top,crdm_task,23
23,bottom,crdm_task,24
24,top,crdm_task,25
25,bottom,crdm_task,26
26,top,crdm_task,27
27,bottom,crdm_task,28
28,top,crdm_task,29
29,bottom,crdm_task,30
30,top,crdm_task,31
31,bottom,crdm_task,32
32,top,crdm_task,33
33,bottom,crdm_task,34
34,top,crdm_task,35
35,bottom,crdm_task,36
36,top,crdm_task,37
37,bottom,crdm_task,38
38,top,crdm_task,39
39,bottom,crdm_task,40
40,top,crdm_task,41
41,bottom,crdm_task,42
42,top,crdm_task,43
43,bottom,crdm_task,44
44,top,crdm_task,45
45,bottom,crdm_task,46
46,top,crdm_task,47
47,bottom,crdm_task,48
48,top,crdm_task,49
49,bottom,crdm_task,50
50,top,crdm_task,51
51,bottom,crdm_task,52
52,top,crdm_task,53
53,bottom,crdm_task,54
54,top,crdm_task,55
55,bottom,crdm_task,56
56,top,crdm_task,57
57,bottom,crdm_task,58
58,top,crdm_task,59
59,bottom,crdm_task,60
60,top,crdm_task,61
61,bottom,crdm_task,62
62,top,crdm_task,63
63,bottom,crdm_task,64
64,top,crdm_task,65
65,bottom,crdm_task,66
66,top,crdm_task,67
67,bottom,crdm_task,68
68,top,crdm_task,69
69,bottom,crdm_task,70
70,top,crdm_task,71
71,bottom,crdm_task,72
72,top,crdm_task,73
73,bottom,crdm_task,74
74,top,crdm_task,75
75,bottom,crdm_task,76
76,top,crdm_task,77
77,bottom,crdm_task,78
78,top,crdm_task,79
79,bottom,crdm_task,80
80,top,crdm_task,81
81,bottom,crdm_task,82
82,top,crdm_task,83
83,bottom,crdm_task,84
84,top,crdm_task,85
85,bottom,crdm_task,86
86,top,crdm_task,87
87,bottom,crdm_task,88
88,top,crdm_task,89
89,bottom,crdm_task,90
90,top,crdm_task,91
91,bottom,crdm_task,92
92,top,crdm_task,93
93,bottom,crdm_task,94
94,top,crdm_task,95
95,bottom,crdm_task,96
96,top,crdm_task,97
97,bottom,crdm_task,98
98,top,crdm_task,99
99,bottom,crdm_task,100
100,top,crdm_task,101
101,bottom,crdm_task,102
102,top,crdm_task,103
103,bottom,crdm_task,104
104,top,crdm_task,105
105,bottom,crdm_task,106
106,top,crdm_task,107
107,bottom,crdm_task,108
108,top,crdm_task,109
109,bottom,crdm_task,110
110,top,crdm_task,111
111,bottom,crdm_task,112
112,top,crdm_task,113
113,bottom,crdm_task,114
114,top,crdm_task,115
115,bottom,crdm_task,116
116,top,crdm_task,117
117,bottom,crdm_task,118
118,top,crdm_task,119
119,bottom,crdm_task,120
120,top,crdm_task,121
121,bottom,crdm_task,122
122,top,crdm_task,123
123,bottom,crdm_task,124
124,top,crdm_task,125
125,bottom,crdm_task,126
126,top,crdm_task,127
127,bottom,crdm_task,128
128,top,crdm_task,129
129,bottom,crdm_task,130
130,top,crdm_task,131
131,bottom,crdm_task,132
132,top,crdm_task,133
133,bottom,crdm_task,134
134,top,crdm_task,135
135,bottom,crdm_task,136
136,top,crdm_task,137
137,bottom,crdm_task,138
138,top,crdm_task,139
139,bottom,crdm_task,140
140,top,crdm_task,141
141,bottom,crdm_task,142
142,top,crdm_task,143
143,bottom,crdm_task,144
