crdm_domain_type,crdm_nonzero_side,idm_task,item
gain,top,crdm_questplus,1
gain,bottom,crdm_questplus,2
gain,top,crdm_questplus,3
gain,bottom,crdm_questplus,4
gain,top,crdm_questplus,5
gain,bottom,crdm_questplus,6
gain,top,crdm_questplus,7
gain,bottom,crdm_questplus,8
gain,top,crdm_questplus,9
gain,bottom,crdm_questplus,10
gain,top,crdm_questplus,11
gain,bottom,crdm_questplus,12
gain,top,crdm_questplus,13
gain,bottom,crdm_questplus,14
gain,top,crdm_questplus,15
gain,bottom,crdm_questplus,16
gain,top,crdm_questplus,17
gain,bottom,crdm_questplus,18
gain,top,crdm_questplus,19
gain,bottom,crdm_questplus,20
loss,top,crdm_questplus,21
loss,bottom,crdm_questplus,22
loss,top,crdm_questplus,23
loss,bottom,crdm_questplus,24
loss,top,crdm_questplus,25
loss,bottom,crdm_questplus,26
loss,top,crdm_questplus,27
loss,bottom,crdm_questplus,28
loss,top,crdm_questplus,29
loss,bottom,crdm_questplus,30
loss,top,crdm_questplus,31
loss,bottom,crdm_questplus,32
loss,top,crdm_questplus,33
loss,bottom,crdm_questplus,34
loss,top,crdm_questplus,35
loss,bottom,crdm_questplus,36
loss,top,crdm_questplus,37
loss,bottom,crdm_questplus,38
loss,top,crdm_questplus,39
loss,bottom,crdm_questplus,40
