crdm_domain_type,crdm_nonzero_side,idm_task,item
gain,top,crdm_questplus,1
gain,bottom,crdm_questplus,2
gain,top,crdm_questplus,3
gain,bottom,crdm_questplus,4
gain,top,crdm_questplus,5
gain,bottom,crdm_questplus,6
gain,top,crdm_questplus,7
gain,bottom,crdm_questplus,8
gain,top,crdm_questplus,9
gain,bottom,crdm_questplus,10
gain,top,crdm_questplus,11
gain,bottom,crdm_questplus,12
gain,top,crdm_questplus,13
gain,bottom,crdm_questplus,14
gain,top,crdm_questplus,15
gain,bottom,crdm_questplus,16
gain,top,crdm_questplus,17
gain,bottom,crdm_questplus,18
gain,top,crdm_questplus,19
gain,bottom,crdm_questplus,20
